#p(bar)         	T(K)            	n_<tot>(cm-3)   	n_g(cm-3)       	m(u)            	C1O2            	N2              
1.4130000000e-04	1.8650000000e+02	1.0190901551e+16	5.4875696189e+15	2.3371902036e+00	1.4674179607e-39	5.6570163096e-16
2.5100000000e-04	1.8270000000e+02	1.8479254879e+16	9.9506600959e+15	2.3371902094e+00	5.4149111526e-41	5.4381301147e-17
4.4610000000e-04	1.8370000000e+02	3.2664224273e+16	1.7588944732e+16	2.3371902114e+00	3.0441944313e-41	2.3673438768e-17
7.9370000000e-04	1.8290000000e+02	5.8370304275e+16	3.1431086378e+16	2.3371902143e+00	6.0774193618e-42	5.7978388437e-18
1.4130000000e-03	1.8270000000e+02	1.0402863435e+17	5.6017062612e+16	2.3371902164e+00	1.7086669202e-42	1.7159819686e-18
2.5100000000e-03	1.8260000000e+02	1.8489375022e+17	9.9561095264e+16	2.3371902181e+00	5.1110425526e-43	5.2666780865e-19
4.4610000000e-03	1.8220000000e+02	3.2933139517e+17	1.7733749436e+17	2.3371902196e+00	1.2834647840e-43	1.4662968877e-19
7.9370000000e-03	1.7940000000e+02	5.9509078512e+17	3.2044290405e+17	2.3371902215e+00	7.7890696227e-45	1.8556863903e-20
1.5240000000e-02	1.7870000000e+02	1.1471222366e+18	6.1769933220e+17	2.3371902230e+00	1.3877508971e-45	3.9871563811e-21
2.5910000000e-02	1.7750000000e+02	1.9634431898e+18	1.0572696680e+18	2.3371902248e+00	2.3185108212e-46	9.2141919760e-22
3.7600000000e-02	1.7820000000e+02	2.8381113450e+18	1.5282586498e+18	2.3371902257e+00	1.6853243755e-46	5.5400774609e-22
5.0810000000e-02	1.7950000000e+02	3.8074484022e+18	2.0502246904e+18	2.3371902261e+00	2.0177152925e-46	4.6807125373e-22
6.6060000000e-02	1.8050000000e+02	4.9227824969e+18	2.6508068271e+18	2.3371902266e+00	2.1624959729e-46	3.8496489438e-22
8.2830000000e-02	1.8140000000e+02	6.1418564735e+18	3.3072505394e+18	2.3371902270e+00	2.3354056124e-46	3.2840287003e-22
1.0060000000e-01	1.8340000000e+02	7.3781577085e+18	3.9729707411e+18	2.3371902266e+00	5.0419814710e-46	4.2323658167e-22
1.1990000000e-01	1.8720000000e+02	8.6151456296e+18	4.6390607098e+18	2.3371902253e+00	3.0007414327e-45	9.7379377092e-22
1.4130000000e-01	1.9240000000e+02	9.8783947795e+18	5.3192917563e+18	2.3371902237e+00	3.5125193963e-44	3.2963796870e-21
1.6420000000e-01	1.9810000000e+02	1.1149052516e+19	6.0035121592e+18	2.3371902225e+00	4.6967421185e-43	1.2176992044e-20
1.8830000000e-01	2.0380000000e+02	1.2427833438e+19	6.6921067133e+18	2.3371902214e+00	5.5125653049e-42	4.2377567150e-20
2.1400000000e-01	2.0940000000e+02	1.3746317782e+19	7.4020806611e+18	2.3371902204e+00	5.4558336433e-41	1.3534494561e-19
2.4170000000e-01	2.1500000000e+02	1.5121242346e+19	8.1424463894e+18	2.3371902194e+00	4.8081519790e-40	4.0783346963e-19
2.7190000000e-01	2.2050000000e+02	1.6586314537e+19	8.9313545728e+18	2.3371902183e+00	3.6437164255e-39	1.1347800492e-18
3.0530000000e-01	2.2590000000e+02	1.8178575836e+19	9.7887512109e+18	2.3371902171e+00	2.3984845321e-38	2.9261773682e-18
3.4220000000e-01	2.3120000000e+02	1.9908633796e+19	1.0720348229e+19	2.3371902160e+00	1.3884234964e-37	7.0395895250e-18
3.8320000000e-01	2.3610000000e+02	2.1831259694e+19	1.1755638720e+19	2.3371902149e+00	6.4220196534e-37	1.4964673031e-17
4.2780000000e-01	2.4060000000e+02	2.3916324621e+19	1.2878398947e+19	2.3371902139e+00	2.4363519022e-36	2.8571652606e-17
