#grid_point     #iterations     #chem_iter      #cond_iter      converged               elem_conserved          p(bar)                  T(K)                    n_<tot>(cm-3)           n_g(cm-3)               m(u)                    e-      Al      Ar      C       Ca      Cl      Co      Cr      Cu      F       Fe      Ge      H       He      K       Mg      Mn      N       Na      Ne      Ni      O       P       S       Si      Ti      V       Zn      
0               21              21              0               ok                      ok                      1.4130000000e-04        1.8650000000e+02        1.0190901551e+16        5.4875696189e+15        2.3371902036e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
1               22              22              0               ok                      ok                      2.5100000000e-04        1.8270000000e+02        1.8479254879e+16        9.9506600959e+15        2.3371902094e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
2               22              22              0               ok                      ok                      4.4610000000e-04        1.8370000000e+02        3.2664224273e+16        1.7588944732e+16        2.3371902114e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
3               22              22              0               ok                      ok                      7.9370000000e-04        1.8290000000e+02        5.8370304275e+16        3.1431086378e+16        2.3371902143e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
4               22              22              0               ok                      ok                      1.4130000000e-03        1.8270000000e+02        1.0402863435e+17        5.6017062612e+16        2.3371902164e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
5               22              22              0               ok                      ok                      2.5100000000e-03        1.8260000000e+02        1.8489375022e+17        9.9561095264e+16        2.3371902181e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
6               22              22              0               ok                      ok                      4.4610000000e-03        1.8220000000e+02        3.2933139517e+17        1.7733749436e+17        2.3371902196e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
7               23              23              0               ok                      ok                      7.9370000000e-03        1.7940000000e+02        5.9509078512e+17        3.2044290405e+17        2.3371902215e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
8               24              24              0               ok                      ok                      1.5240000000e-02        1.7870000000e+02        1.1471222366e+18        6.1769933220e+17        2.3371902230e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
9               73              73              0               ok                      ok                      2.5910000000e-02        1.7750000000e+02        1.9634431898e+18        1.0572696680e+18        2.3371902248e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
