# wavelengths_cm Transit_radius_cm depth_ppm
1.005005097611864620e-05 5.960648380620400906e+08 1.713102488700461379e+02
1.015116000897692046e-05 5.960648379670587778e+08 1.713102472181537337e+02
1.025328625424038038e-05 5.960648377508406639e+08 1.713102434577389488e+02
1.035643994562451910e-05 5.960648372837616205e+08 1.713102353344098390e+02
1.046063141980162690e-05 5.960648363231439590e+08 1.713102186275704071e+02
1.056587111743663455e-05 5.960648344364558458e+08 1.713101858147317671e+02
1.067216958423325494e-05 5.960648308876545429e+08 1.713101240948089981e+02
1.077953747199078372e-05 5.960648244776529074e+08 1.713100126135590813e+02
1.088798553967148446e-05 5.960648133316657543e+08 1.713098187651593207e+02
1.099752465447867697e-05 5.960647946298965216e+08 1.713094935083742598e+02
1.110816579294569980e-05 5.960647642835714817e+08 1.713089657322250616e+02
1.121992004203588582e-05 5.960647165653324127e+08 1.713081358278887762e+02
1.133279860025347477e-05 5.960646437106286287e+08 1.713068687562255832e+02
1.144681277876580652e-05 5.960645355138678551e+08 1.713049870242074633e+02
1.156197400253681723e-05 5.960643789486330748e+08 1.713022640799383112e+02
1.167829381147182123e-05 5.960641578439208269e+08 1.712984186820806087e+02
1.179578386157390591e-05 5.960638526477403641e+08 1.712931107887808082e+02
1.191445592611200192e-05 5.960634403048022985e+08 1.712859394310102630e+02
1.203432189680054941e-05 5.960628942672870159e+08 1.712764429006487887e+02
1.215539378499117002e-05 5.960621846473321915e+08 1.712641014036653075e+02
1.227768372287629902e-05 5.960612785080252886e+08 1.712483421225321649e+02
1.240120396470489779e-05 5.960601402785480022e+08 1.712285464383267026e+02
1.252596688801037718e-05 5.960587322693053484e+08 1.712040588922315578e+02
1.265198499485092818e-05 5.960570152559902668e+08 1.711741973464341413e+02
1.277927091306235479e-05 5.960549490981575251e+08 1.711382637456847533e+02
1.290783739752339217e-05 5.960524933587085009e+08 1.710955548950905722e+02
1.303769733143384548e-05 5.960496078941324949e+08 1.710453727296452087e+02
1.316886372760564090e-05 5.960462533911318779e+08 1.709870336514865699e+02
