# Temperatures_K Pressures_bar z_km Mass_fraction_N2 Mass_fraction_CO2
1.865000000000000000e+02 1.413000000000000193e-04 5.542000000000000171e+01 9.996000000000000441e-01 0.000000000000000000e+00
1.826999999999999886e+02 2.510000000000000295e-04 5.203999999999999915e+01 9.996000000000000441e-01 0.000000000000000000e+00
1.836999999999999886e+02 4.461000000000000555e-04 4.860000000000000142e+01 9.996000000000000441e-01 0.000000000000000000e+00
1.829000000000000057e+02 7.937000000000001563e-04 4.517999999999999972e+01 9.996000000000000441e-01 0.000000000000000000e+00
1.826999999999999886e+02 1.413000000000000193e-03 4.178000000000000114e+01 9.996000000000000441e-01 0.000000000000000000e+00
1.825999999999999943e+02 2.510000000000000078e-03 3.839000000000000057e+01 9.996000000000000441e-01 0.000000000000000000e+00
1.821999999999999886e+02 4.461000000000000555e-03 3.499000000000000199e+01 9.996000000000000441e-01 0.000000000000000000e+00
1.794000000000000057e+02 7.937000000000001346e-03 3.162000000000000099e+01 9.996000000000000441e-01 0.000000000000000000e+00
1.786999999999999886e+02 1.524000000000000181e-02 2.785999999999999943e+01 9.996000000000000441e-01 0.000000000000000000e+00
1.775000000000000000e+02 2.591000000000000247e-02 2.473999999999999844e+01 9.996000000000000441e-01 0.000000000000000000e+00
1.781999999999999886e+02 3.760000000000000148e-02 2.257999999999999829e+01 9.996000000000000441e-01 0.000000000000000000e+00
1.795000000000000000e+02 5.081000000000000100e-02 2.082000000000000028e+01 9.996000000000000441e-01 0.000000000000000000e+00
1.805000000000000000e+02 6.606000000000000760e-02 1.928000000000000114e+01 9.996000000000000441e-01 0.000000000000000000e+00
1.814000000000000057e+02 8.283000000000000085e-02 1.794999999999999929e+01 9.996000000000000441e-01 0.000000000000000000e+00
1.834000000000000057e+02 1.006000000000000089e-01 1.680000000000000071e+01 9.996000000000000441e-01 0.000000000000000000e+00
1.871999999999999886e+02 1.199000000000000066e-01 1.575000000000000000e+01 9.996000000000000441e-01 0.000000000000000000e+00
1.924000000000000057e+02 1.413000000000000089e-01 1.475000000000000000e+01 9.996000000000000441e-01 0.000000000000000000e+00
1.980999999999999943e+02 1.642000000000000126e-01 1.378999999999999915e+01 9.996000000000000441e-01 0.000000000000000000e+00
2.038000000000000114e+02 1.883000000000000229e-01 1.290000000000000036e+01 9.996000000000000441e-01 0.000000000000000000e+00
2.094000000000000057e+02 2.140000000000000235e-01 1.203999999999999915e+01 9.996000000000000441e-01 0.000000000000000000e+00
2.150000000000000000e+02 2.417000000000000259e-01 1.119999999999999929e+01 9.996000000000000441e-01 0.000000000000000000e+00
2.205000000000000000e+02 2.719000000000000306e-01 1.035999999999999943e+01 9.996000000000000441e-01 0.000000000000000000e+00
2.259000000000000057e+02 3.053000000000000158e-01 9.519999999999999574e+00 9.996000000000000441e-01 0.000000000000000000e+00
2.311999999999999886e+02 3.422000000000000042e-01 8.667999999999999261e+00 9.996000000000000441e-01 0.000000000000000000e+00
2.360999999999999943e+02 3.832000000000000406e-01 7.801999999999999602e+00 9.996000000000000441e-01 0.000000000000000000e+00
2.405999999999999943e+02 4.278000000000000136e-01 6.942999999999999616e+00 9.996000000000000441e-01 0.000000000000000000e+00
2.445000000000000000e+02 4.755000000000000338e-01 6.102999999999999758e+00 9.996000000000000441e-01 0.000000000000000000e+00
2.480999999999999943e+02 5.258000000000000451e-01 5.293000000000000149e+00 9.996000000000000441e-01 0.000000000000000000e+00
2.515000000000000000e+02 5.781000000000000583e-01 4.517999999999999794e+00 9.996000000000000441e-01 0.000000000000000000e+00
2.544000000000000057e+02 6.309000000000000163e-01 3.795999999999999819e+00 9.996000000000000441e-01 0.000000000000000000e+00
2.568000000000000114e+02 6.827000000000000846e-01 3.138999999999999790e+00 9.996000000000000441e-01 0.000000000000000000e+00
2.586000000000000227e+02 7.330000000000000959e-01 2.544999999999999929e+00 9.996000000000000441e-01 0.000000000000000000e+00
2.593000000000000114e+02 7.807000000000000606e-01 2.015000000000000124e+00 9.996000000000000441e-01 0.000000000000000000e+00
2.585000000000000000e+02 8.243000000000000327e-01 1.558999999999999941e+00 9.996000000000000441e-01 0.000000000000000000e+00
2.559000000000000057e+02 8.627000000000000224e-01 1.177999999999999936e+00 9.996000000000000441e-01 0.000000000000000000e+00
2.511999999999999886e+02 8.961000000000001187e-01 8.648000000000000131e-01 9.996000000000000441e-01 0.000000000000000000e+00
2.434000000000000057e+02 9.253000000000001224e-01 6.059999999999999831e-01 9.996000000000000441e-01 0.000000000000000000e+00
2.299000000000000057e+02 9.520000000000000684e-01 3.865000000000000102e-01 9.996000000000000441e-01 0.000000000000000000e+00
2.103000000000000114e+02 9.761000000000000787e-01 2.053999999999999992e-01 9.996000000000000441e-01 0.000000000000000000e+00
1.910000000000000000e+02 9.976000000000000423e-01 6.183999999999999914e-02 9.996000000000000441e-01 0.000000000000000000e+00
1.746999999999999886e+02 1.008000000000000007e+00 0.000000000000000000e+00 9.996000000000000441e-01 0.000000000000000000e+00
