# wavelengths_cm Transit_radius_cm depth_ppm
6.030515651079422626e-05 5.876912901267161369e+08 2.670237241475645718e+01
6.091185950818825520e-05 5.876625934796806574e+08 2.621031021915324999e+01
6.152466627097058082e-05 5.876338563829208612e+08 2.571757850956046099e+01
6.214363820637348206e-05 5.876050927756454945e+08 2.522441637449579588e+01
6.276883733941989406e-05 5.875763175968716145e+08 2.473107999657788270e+01
6.340032631913837340e-05 5.875475467202249765e+08 2.423784153051861523e+01
6.403816842484107597e-05 5.875187968777172565e+08 2.374498779253556791e+01
6.468242757246505216e-05 5.874900855735991001e+08 2.325281878012472703e+01
6.533316832097654781e-05 5.874614309895125628e+08 2.276164604321489549e+01
6.599045587884045207e-05 5.874328518823875189e+08 2.227179093154005329e+01
6.665435611055486528e-05 5.874043674765282869e+08 2.178358274306489051e+01
6.732493554325070530e-05 5.873759973514896631e+08 2.129735680090175265e+01
6.800226137335835827e-05 5.873477613272750378e+08 2.081345248502431389e+01
6.868640147334142791e-05 5.873196793484456539e+08 2.033221124602369656e+01
6.937742439849752917e-05 5.872917713686263561e+08 1.985397462634319510e+01
7.007539939382828110e-05 5.872640572368433475e+08 1.937908231359755362e+01
7.078039640097813295e-05 5.872365565870194435e+08 1.890787024865521104e+01
7.149248606524298587e-05 5.872092887318230867e+08 1.844066880894729366e+01
7.221173974264900311e-05 5.871822725619328022e+08 1.797780108516011666e+01
7.293822950710315367e-05 5.871555264516383410e+08 1.751958126700846208e+01
7.367202815761576069e-05 5.871290681715284586e+08 1.706631315093684620e+01
7.441320922559495940e-05 5.871029148088784218e+08 1.661828878012082100e+01
7.516184698221517902e-05 5.870770826961859465e+08 1.617578722444396888e+01
7.591801644585994679e-05 5.870515873481619358e+08 1.573907350559096940e+01
7.668179338963868866e-05 5.870264434073363543e+08 1.530839766995660511e+01
7.745325434897987150e-05 5.870016645983223915e+08 1.488399401002067002e+01
7.823247662930074412e-05 5.869772636906528473e+08 1.446608043266630794e+01
7.901953831375320284e-05 5.869532524700012207e+08 1.405485797114431890e+01
7.981451827104854633e-05 5.869296417175152302e+08 1.365051043597702574e+01
8.061749616336090290e-05 5.869064411968970299e+08 1.325320419847715669e+01
8.142855245430941145e-05 5.868836596488230228e+08 1.286308809984719304e+01
8.224776841702128400e-05 5.868613047922239304e+08 1.248029347761824326e+01
8.307522614227641369e-05 5.868393833319141865e+08 1.210493430062882325e+01
8.391100854673272879e-05 5.868179009720454216e+08 1.173710740352919757e+01
