# Temperatures_K Pressures_bar z_km Mass_fraction_CO Mass_fraction_CO2 Mass_fraction_N2 Mass_fraction_CH4 Mass_fraction_H2O Mass_fraction_O2
1.844000000000000057e+02 1.413000000000000193e-04 3.864000000000000057e+01 6.200810484902078915e-43 2.694464710812380097e-36 1.116867246285413682e-12 9.999999999988831156e-01 8.920136081923998391e-137 8.494801102729418342e-132
1.770999999999999943e+02 2.510000000000000295e-04 3.650000000000000000e+01 8.346258421109098299e-46 1.153179717101704669e-38 3.253199930397990840e-14 9.999999999999674705e-01 1.507367835488246840e-142 1.155971562030028880e-137
1.760000000000000000e+02 4.461000000000000555e-04 3.440999999999999659e+01 1.116413592114860566e-46 1.851945509338518543e-39 7.070273302823415818e-15 9.999999999999928946e-01 1.451687749449192502e-143 8.445504641988687592e-139
1.785000000000000000e+02 7.937000000000001563e-04 3.229999999999999716e+01 2.461324968967253798e-46 2.703774217311410596e-39 5.217438377300337460e-15 9.999999999999947820e-01 1.114245331605925692e-141 4.737884917149601824e-137
1.840999999999999943e+02 1.413000000000000193e-03 3.014000000000000057e+01 4.995905518844702922e-45 2.272392745464987415e-38 1.016145282553323739e-14 9.999999999999898970e-01 1.686900918852000485e-137 5.094173168209645141e-133
1.913000000000000114e+02 2.510000000000000078e-03 2.791000000000000014e+01 2.354453058782132881e-43 3.724789521278734380e-37 2.876620425426450665e-14 9.999999999999712452e-01 1.855628401806931429e-132 3.945957780178461329e-128
1.966999999999999886e+02 4.461000000000000555e-03 2.560000000000000142e+01 2.507273501779006545e-42 1.892213886032085892e-36 4.253707564574048139e-14 9.999999999999574785e-01 5.899294159988598978e-129 9.006906555184658072e-125
2.035999999999999943e+02 7.937000000000001346e-03 2.323000000000000043e+01 5.421073180110807824e-41 1.684740775034623570e-35 8.592754848448978531e-14 9.999999999999140687e-01 1.003028960422201380e-124 1.090306752956706027e-120
2.111999999999999886e+02 1.524000000000000181e-02 2.044999999999999929e+01 1.129451149547902980e-39 1.415032902128933937e-34 1.572810120292565229e-13 9.999999999998426814e-01 2.132259115291662024e-120 1.588084623580497364e-116
2.165999999999999943e+02 2.591000000000000247e-02 1.807000000000000028e+01 7.124728904857970825e-39 4.870693524461421489e-34 1.954601495393118380e-13 9.999999999998046007e-01 1.581710772752931140e-117 8.732699146787010028e-114
