# Temperatures_K Pressures_bar z_km Mass_fraction_N2 Mass_fraction_CO2
1.844000000000000057e+02 1.413000000000000193e-04 3.864000000000000057e+01 0.000000000000000000e+00 1.000000000000000000e+00
1.770999999999999943e+02 2.510000000000000295e-04 3.650000000000000000e+01 0.000000000000000000e+00 1.000000000000000000e+00
1.760000000000000000e+02 4.461000000000000555e-04 3.440999999999999659e+01 0.000000000000000000e+00 1.000000000000000000e+00
1.785000000000000000e+02 7.937000000000001563e-04 3.229999999999999716e+01 0.000000000000000000e+00 1.000000000000000000e+00
1.840999999999999943e+02 1.413000000000000193e-03 3.014000000000000057e+01 0.000000000000000000e+00 1.000000000000000000e+00
1.913000000000000114e+02 2.510000000000000078e-03 2.791000000000000014e+01 0.000000000000000000e+00 1.000000000000000000e+00
1.966999999999999886e+02 4.461000000000000555e-03 2.560000000000000142e+01 0.000000000000000000e+00 1.000000000000000000e+00
2.035999999999999943e+02 7.937000000000001346e-03 2.323000000000000043e+01 0.000000000000000000e+00 1.000000000000000000e+00
2.111999999999999886e+02 1.524000000000000181e-02 2.044999999999999929e+01 0.000000000000000000e+00 1.000000000000000000e+00
2.165999999999999943e+02 2.591000000000000247e-02 1.807000000000000028e+01 0.000000000000000000e+00 1.000000000000000000e+00
2.205999999999999943e+02 3.760000000000000148e-02 1.637000000000000099e+01 0.000000000000000000e+00 1.000000000000000000e+00
2.215000000000000000e+02 5.081000000000000100e-02 1.499000000000000021e+01 0.000000000000000000e+00 1.000000000000000000e+00
2.215999999999999943e+02 6.606000000000000760e-02 1.377999999999999936e+01 0.000000000000000000e+00 1.000000000000000000e+00
2.243000000000000114e+02 8.283000000000000085e-02 1.273000000000000043e+01 0.000000000000000000e+00 1.000000000000000000e+00
2.275999999999999943e+02 1.006000000000000089e-01 1.181000000000000050e+01 0.000000000000000000e+00 1.000000000000000000e+00
2.310000000000000000e+02 1.199000000000000066e-01 1.098000000000000043e+01 0.000000000000000000e+00 1.000000000000000000e+00
2.344000000000000057e+02 1.413000000000000089e-01 1.018999999999999950e+01 0.000000000000000000e+00 1.000000000000000000e+00
2.376999999999999886e+02 1.643000000000000016e-01 9.457000000000000739e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.409000000000000057e+02 1.885000000000000286e-01 8.775000000000000355e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.435999999999999943e+02 2.143000000000000183e-01 8.131999999999999673e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.458000000000000114e+02 2.421000000000000096e-01 7.514000000000000234e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.479000000000000057e+02 2.725000000000000200e-01 6.908999999999999808e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.496999999999999886e+02 3.059000000000000052e-01 6.312000000000000277e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.515000000000000000e+02 3.430000000000000271e-01 5.719000000000000306e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.536999999999999886e+02 3.842000000000000415e-01 5.126999999999999780e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.560000000000000000e+02 4.290000000000000480e-01 4.544999999999999929e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.583000000000000114e+02 4.770000000000000351e-01 3.980999999999999872e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.603000000000000114e+02 5.274000000000000909e-01 3.439999999999999947e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.618000000000000114e+02 5.800000000000000711e-01 2.926000000000000156e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.626000000000000227e+02 6.330000000000000071e-01 2.450000000000000178e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.623000000000000114e+02 6.851000000000000423e-01 2.020000000000000018e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.611000000000000227e+02 7.355000000000000426e-01 1.633000000000000007e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.586999999999999886e+02 7.834000000000000963e-01 1.292000000000000037e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.551999999999999886e+02 8.272000000000000464e-01 1.002000000000000002e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.506999999999999886e+02 8.659000000000001140e-01 7.621999999999999886e-01 0.000000000000000000e+00 1.000000000000000000e+00
2.453000000000000114e+02 8.993000000000000993e-01 5.665999999999999925e-01 0.000000000000000000e+00 1.000000000000000000e+00
2.386999999999999886e+02 9.287000000000000810e-01 4.048999999999999821e-01 0.000000000000000000e+00 1.000000000000000000e+00
2.320000000000000000e+02 9.555000000000001270e-01 2.656000000000000028e-01 0.000000000000000000e+00 1.000000000000000000e+00
2.224000000000000057e+02 9.797000000000001263e-01 1.472999999999999865e-01 0.000000000000000000e+00 1.000000000000000000e+00
2.218000000000000114e+02 1.001000000000000112e+00 4.798000000000000181e-02 0.000000000000000000e+00 1.000000000000000000e+00
2.140999999999999943e+02 1.012000000000000011e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
