# wavelengths_cm Transit_radius_cm depth_ppm
1.005005097611864620e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.015116000897692046e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.025328625424038038e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.035643994562451910e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.046063141980162690e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.056587111743663455e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.067216958423325494e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.077953747199078372e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.088798553967148446e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.099752465447867697e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.110816579294569980e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.121992004203588582e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.133279860025347477e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.144681277876580652e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.156197400253681723e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.167829381147182123e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.179578386157390591e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.191445592611200192e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.203432189680054941e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.215539378499117002e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.227768372287629902e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.240120396470489779e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.252596688801037718e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.265198499485092818e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.277927091306235479e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.290783739752339217e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.303769733143384548e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.316886372760564090e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.330134972976669727e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.343516861387804377e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.357033378946423078e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.370685880095693256e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.384475732905225145e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.398404319208165085e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.412473034739655088e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.426683289276699831e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.441036506779437009e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.455534125533826816e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.470177598295772397e-05 5.900438279048632383e+08 6.712312812684942287e+01
1.484968392436698721e-05 5.899961820536479950e+08 6.630288609483311291e+01
1.499907990090598520e-05 5.899774364292432070e+08 6.598019096863524169e+01
1.514997888302542068e-05 5.899664080329668522e+08 6.579034826974053374e+01
1.530239599178694843e-05 5.899568979786428213e+08 6.562664514294937135e+01
1.545634650037846136e-05 5.899477883896172047e+08 6.546983797616678658e+01
1.561184583564445539e-05 5.899387268546756506e+08 6.531386038660612314e+01
1.576890957963195946e-05 5.899295699712930918e+08 6.515624398348413138e+01
1.592755347115201538e-05 5.899202506811647415e+08 6.499583460329746742e+01
1.608779340735667357e-05 5.899107352647957802e+08 6.483205199167962007e+01
1.624964544533208247e-05 5.899010064472807646e+08 6.466459897768089604e+01
1.641312580370754285e-05 5.898910558089137077e+08 6.449333082616871593e+01
1.657825086428063536e-05 5.898808800178551674e+08 6.431819038495044083e+01
1.674503717365880088e-05 5.898704788125114441e+08 6.413917335227607452e+01
1.691350144491750914e-05 5.898598538499901295e+08 6.395630845338943971e+01
1.708366055927488356e-05 5.898490080139387846e+08 6.376964552512823303e+01
1.725553156778338187e-05 5.898379449830784798e+08 6.357924808826761875e+01
1.742913169303845128e-05 5.898266689487891197e+08 6.338518848574179287e+01
1.760447833090430055e-05 5.898151844280996323e+08 6.318754466322167218e+01
1.778158905225705991e-05 5.898034961339192390e+08 6.298639793510439944e+01
1.796048160474551859e-05 5.897916088847978115e+08 6.278183143098463148e+01
1.814117391456962296e-05 5.897795275420317650e+08 6.257392901289841092e+01
1.832368408827666752e-05 5.897672569643750191e+08 6.236277449562744124e+01
1.850803041457577835e-05 5.897548019764152765e+08 6.214845110226341518e+01
1.869423136617056718e-05 5.897421673463590145e+08 6.193104108174634348e+01
1.888230560161017281e-05 5.897293577701289654e+08 6.171062543507866138e+01
1.907227196715894740e-05 5.897163778591184616e+08 6.148728370451540570e+01
1.926414949868509604e-05 5.897032321337445974e+08 6.126109386255809142e+01
1.945795742356805260e-05 5.896899250153300762e+08 6.103213217223171227e+01
1.965371516262523919e-05 5.896764608223308325e+08 6.080047312215440769e+01
1.985144233205823270e-05 5.896628437648278475e+08 6.056618933177177411e+01
2.005115874541831499e-05 5.896490779432125092e+08 6.032935152875743512e+01
2.025288441559197904e-05 5.896351673438358307e+08 6.009002847420362059e+01
2.045663955680637099e-05 5.896211158373507261e+08 5.984828693415686729e+01
2.066244458665489147e-05 5.896069271769194603e+08 5.960419164885445298e+01
2.087032012814308172e-05 5.895926049968166351e+08 5.935780530877839567e+01
2.108028701175525862e-05 5.895781528101340532e+08 5.910918851528371931e+01
2.129236627754191221e-05 5.895635740077284575e+08 5.885839976260416506e+01
2.150657917722792323e-05 5.895488718565326929e+08 5.860549540893827469e+01
2.172294717634222082e-05 5.895340494976961613e+08 5.835052964460967928e+01
2.194149195636877861e-05 5.895191099463660717e+08 5.809355448845687420e+01
2.216223541691917295e-05 5.895040560919828415e+08 5.783461979308495415e+01
2.238519967792708263e-05 5.894888907002798319e+08 5.757377327943854795e+01
2.261040708186494021e-05 5.894736164165613651e+08 5.731106059335992597e+01
2.283788019598265029e-05 5.894582357743108273e+08 5.704652545382112550e+01
2.306764181456906243e-05 5.894427512027798891e+08 5.678020978362150117e+01
2.329971496123614457e-05 5.894271650408669710e+08 5.651215394822337146e+01
2.353412289122598568e-05 5.894114795503648520e+08 5.624239698371928142e+01
2.377088909374116976e-05 5.893956969328933954e+08 5.597097688813254024e+01
