# wavelengths_cm Transit_radius_cm depth_ppm
6.030515651079422626e-05 5.861278506660939455e+08 -7.096144870538489968e-02
6.091185950818825520e-05 5.861284339942102432e+08 -6.098546624095257940e-02
6.152466627097058082e-05 5.861271382159547806e+08 -8.314564151122105784e-02
6.214363820637348206e-05 5.861270407484682798e+08 -8.481251160116176635e-02
6.276883733941989406e-05 5.861289160491877794e+08 -5.274143301361133851e-02
6.340032631913837340e-05 5.861270874399088621e+08 -8.401400365530298231e-02
6.403816842484107597e-05 5.861270879307079315e+08 -8.400561010486073954e-02
6.468242757246505216e-05 5.861273895359603167e+08 -7.884761414006158375e-02
6.533316832097654781e-05 5.861370446218323708e+08 8.627324025079019520e-02
6.599045587884045207e-05 5.861382797270562649e+08 1.073961517530106491e-01
6.665435611055486528e-05 5.861276892198745012e+08 -7.372247390850805715e-02
6.732493554325070530e-05 5.861269158205426931e+08 -8.694900439941921633e-02
6.800226137335835827e-05 5.861270800700385571e+08 -8.414004175050626699e-02
6.868640147334142791e-05 5.861266636231359243e+08 -9.126203343256422684e-02
6.937742439849752917e-05 5.861271430366061926e+08 -8.306319965715180942e-02
7.007539939382828110e-05 5.861266433186204433e+08 -9.160927706917831870e-02
7.078039640097813295e-05 5.861470547904573679e+08 2.574695761282477235e-01
7.149248606524298587e-05 5.861881795335310698e+08 9.608256027466808291e-01
7.221173974264900311e-05 5.861455899277768135e+08 2.324169560460687123e-01
7.293822950710315367e-05 5.861281084874176979e+08 -6.655223163079426740e-02
7.367202815761576069e-05 5.861267922425016165e+08 -8.906241129120129330e-02
7.441320922559495940e-05 5.861269641903704405e+08 -8.612179317868395856e-02
7.516184698221517902e-05 5.861268722932038307e+08 -8.769340027601213450e-02
7.591801644585994679e-05 5.861271213979079723e+08 -8.343326051245902875e-02
7.668179338963868866e-05 5.861266327371405363e+08 -9.179023935054608785e-02
7.745325434897987150e-05 5.861272173289214373e+08 -8.179266666379358952e-02
7.823247662930074412e-05 5.862604546376117468e+08 2.197065479421145717e+00
7.901953831375320284e-05 5.862301821813870668e+08 1.679247363059675813e+00
7.981451827104854633e-05 5.861349783304196596e+08 5.093538653032414487e-02
8.061749616336090290e-05 5.861268333027722836e+08 -8.836020682105028001e-02
8.142855245430941145e-05 5.861271700734013319e+08 -8.260082156584580559e-02
8.224776841702128400e-05 5.861291874208920002e+08 -4.810047111425985733e-02
8.307522614227641369e-05 5.861338889176754951e+08 3.230422718642156354e-02
8.391100854673272879e-05 5.861289955919579268e+08 -5.138110362259151742e-02
8.475519938123526062e-05 5.861268328012113571e+08 -8.836878441471629486e-02
8.560788323920873579e-05 5.861272965902839899e+08 -8.043715379448856950e-02
8.646914556513422107e-05 5.861367560754557848e+08 8.133849336662724028e-02
8.733907266311093250e-05 5.864190770733959675e+08 4.910779990372214243e+00
8.821775170550482119e-05 5.861378424367690086e+08 9.991755790855272323e-02
8.910527074168394959e-05 5.861270546934332848e+08 -8.457402752608267349e-02
9.000171870684110537e-05 5.861272718443138599e+08 -8.086035472751840203e-02
9.090718543090599746e-05 5.861597309028867483e+08 4.742637260240654129e-01
9.182176164754698013e-05 5.861977219548956156e+08 1.124036583472141082e+00
9.274553900326273871e-05 5.862376033774789572e+08 1.806186348719864831e+00
9.367861006656603767e-05 5.861978083413333893e+08 1.125514125753893424e+00
9.462106833725999176e-05 5.861485267654740810e+08 2.826438970645233084e-01
9.557300825580683317e-05 5.861291506435128450e+08 -4.872943296630527499e-02
9.653452521279174965e-05 5.861323536389961243e+08 6.047918159150178496e-03
9.750571555848176655e-05 5.861356906619820595e+08 6.311771440759805785e-02
9.848667661248037739e-05 5.861425188290514946e+08 1.798940998633398181e-01
9.947750667347967138e-05 5.861448933373929262e+08 2.205036331829779428e-01
1.004783050291107709e-04 5.861272013599675894e+08 -8.206576467810222653e-02
1.014891719658928774e-04 5.861432318566958904e+08 1.920884890512803977e-01
1.025102087792825240e-04 5.861272296253288984e+08 -8.158237583501248835e-02
1.035415177838240939e-04 5.864950381055792570e+08 6.210582190199565922e+00
1.045832023234028889e-04 5.865389193731384277e+08 6.961530330416213275e+00
1.056353667816000471e-04 5.866906079316337109e+08 9.557837103277092794e+00
1.066981165921528844e-04 5.865591078029693365e+08 7.307037484721734977e+00
1.077715582495204311e-04 5.862331038812525272e+08 1.729222621689664230e+00
1.088557993195540683e-04 5.861725329087928534e+08 6.932157368626352678e-01
1.099509484502767204e-04 5.861773330092982054e+08 7.753128274136074083e-01
1.110571153827704402e-04 5.862794946172915697e+08 2.522762905454433380e+00
1.121744109621725230e-04 5.862375180069472790e+08 1.804726083236232625e+00
1.133029471487832118e-04 5.864521225366852283e+08 5.476214569899940265e+00
1.144428370292851978e-04 5.861685856075516939e+08 6.257047484779780788e-01
1.155941948280749969e-04 5.862466812844480276e+08 1.961465430982553215e+00
1.167571359187092916e-04 5.861347942654043436e+08 4.778750039028878405e-02
1.179317768354664302e-04 5.861433089390054941e+08 1.934067721831054243e-01
1.191182352850232967e-04 5.861315797870769501e+08 -7.186457710516513941e-03
1.203166301582505638e-04 5.872001251134473085e+08 1.828366625549839597e+01
1.215270815421265975e-04 5.874716354011747837e+08 2.293655872331017420e+01
1.227497107317707321e-04 5.874307296084295511e+08 2.223541542211757971e+01
1.239846402425976238e-04 5.866935095133935213e+08 9.607507223983454026e+00
1.252319938225942685e-04 5.862762697731671333e+08 2.467598056802018824e+00
1.264918964647207403e-04 5.866694162572011948e+08 9.195079303873800569e+00
1.277644744194345017e-04 5.861737750068633556e+08 7.144595271066540576e-01
1.290498552073420944e-04 5.871166355218019485e+08 1.685333116342321347e+01
1.303481676319776818e-04 5.864027655253001451e+08 4.631687967080379664e+00
1.316595417927094456e-04 5.873832517447776794e+08 2.142168515005649354e+01
1.329841090977765478e-04 5.865803187436064482e+08 7.670056819535843395e+00
1.343220022774576879e-04 5.871845324404765368e+08 1.801651874171583856e+01
1.356733553973706312e-04 5.864289792021492720e+08 5.080210071540186334e+00
1.370383038719069375e-04 5.865032446382917166e+08 6.351017811118110146e+00
1.384169844778016726e-04 5.863334245226792097e+08 3.445343956832622290e+00
1.398095353678386460e-04 5.861486012348875999e+08 2.839175052216171835e-01
1.412160960846944792e-04 5.861337217071818113e+08 2.944459292118306593e-02
1.426368075749220225e-04 5.869890722554897070e+08 1.466832318149416814e+01
