# Temperatures_K Pressures_bar z_km Mass_fraction_N2 Mass_fraction_CO2 Mass_fraction_H2O(l) Mass_fraction_H2O(s)_crystalline__Mie
1.836999999999999886e+02 1.413000000000000193e-04 5.510999999999999943e+01 9.996000000000000441e-01 4.000000000000000192e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.800000000000000000e+02 2.510000000000000295e-04 5.177000000000000313e+01 9.996000000000000441e-01 4.000000000000000192e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.805999999999999943e+02 4.461000000000000555e-04 4.839999999999999858e+01 9.996000000000000441e-01 4.000000000000000192e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.798000000000000114e+02 7.937000000000001563e-04 4.503999999999999915e+01 9.996000000000000441e-01 4.000000000000000192e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.793000000000000114e+02 1.413000000000000193e-03 4.167999999999999972e+01 9.996000000000000441e-01 4.000000000000000192e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.795999999999999943e+02 2.510000000000000078e-03 3.832999999999999829e+01 9.996000000000000441e-01 4.000000000000000192e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.813000000000000114e+02 4.461000000000000555e-03 3.497999999999999687e+01 9.996000000000000441e-01 4.000000000000000192e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.791999999999999886e+02 7.937000000000001346e-03 3.162999999999999901e+01 9.996000000000000441e-01 4.000000000000000192e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.766999999999999886e+02 1.524000000000000181e-02 2.792000000000000171e+01 9.996000000000000441e-01 4.000000000000000192e-04 0.000000000000000000e+00 8.156000000000000386e-12
1.768000000000000114e+02 2.591000000000000247e-02 2.483999999999999986e+01 9.996000000000000441e-01 4.000000000000000192e-04 0.000000000000000000e+00 4.723000000000000337e-09
1.794000000000000057e+02 3.760000000000000148e-02 2.267000000000000171e+01 9.996000000000000441e-01 4.000000000000000192e-04 0.000000000000000000e+00 9.122000000000000553e-09
1.820000000000000000e+02 5.081000000000000100e-02 2.089999999999999858e+01 9.996000000000000441e-01 4.000000000000000192e-04 0.000000000000000000e+00 1.295000000000000016e-08
1.849000000000000057e+02 6.606000000000000760e-02 1.932999999999999829e+01 9.996000000000000441e-01 4.000000000000000192e-04 0.000000000000000000e+00 1.898999999999999998e-08
1.880999999999999943e+02 8.283000000000000085e-02 1.794999999999999929e+01 9.996000000000000441e-01 4.000000000000000192e-04 0.000000000000000000e+00 1.651000000000000027e-08
1.913000000000000114e+02 1.006000000000000089e-01 1.673999999999999844e+01 9.996000000000000441e-01 4.000000000000000192e-04 0.000000000000000000e+00 2.764999999999999944e-08
1.948000000000000114e+02 1.199000000000000066e-01 1.564000000000000057e+01 9.996000000000000441e-01 4.000000000000000192e-04 0.000000000000000000e+00 4.478000000000000129e-08
1.994000000000000057e+02 1.413000000000000089e-01 1.458000000000000007e+01 9.996000000000000441e-01 4.000000000000000192e-04 0.000000000000000000e+00 1.993999999999999856e-08
2.039000000000000057e+02 1.642000000000000126e-01 1.358999999999999986e+01 9.996000000000000441e-01 4.000000000000000192e-04 0.000000000000000000e+00 1.304999999999999940e-08
2.080000000000000000e+02 1.881000000000000172e-01 1.266999999999999993e+01 9.996000000000000441e-01 4.000000000000000192e-04 0.000000000000000000e+00 2.213999999999999841e-08
2.120999999999999943e+02 2.136000000000000121e-01 1.178999999999999915e+01 9.996000000000000441e-01 4.000000000000000192e-04 0.000000000000000000e+00 4.297000000000000030e-08
2.161999999999999886e+02 2.412000000000000255e-01 1.093999999999999950e+01 9.996000000000000441e-01 4.000000000000000192e-04 0.000000000000000000e+00 7.887000000000000413e-08
2.200999999999999943e+02 2.713000000000000411e-01 1.010999999999999943e+01 9.996000000000000441e-01 4.000000000000000192e-04 0.000000000000000000e+00 1.309999999999999951e-07
2.236999999999999886e+02 3.044000000000000039e-01 9.269000000000000128e+00 9.996000000000000441e-01 4.000000000000000192e-04 0.000000000000000000e+00 1.871000000000000012e-07
2.268000000000000114e+02 3.411000000000000143e-01 8.429000000000000270e+00 9.996000000000000441e-01 4.000000000000000192e-04 0.000000000000000000e+00 2.317999999999999978e-07
2.295999999999999943e+02 3.819000000000000172e-01 7.586000000000000298e+00 9.996000000000000441e-01 4.000000000000000192e-04 9.411000000000000239e-14 2.594000000000000067e-07
2.324000000000000057e+02 4.263000000000000123e-01 6.759000000000000341e+00 9.996000000000000441e-01 4.000000000000000192e-04 1.121999999999999945e-11 2.934999999999999745e-07
2.354000000000000057e+02 4.737000000000000655e-01 5.953999999999999737e+00 9.996000000000000441e-01 4.000000000000000192e-04 9.496999999999999620e-11 3.770000000000000009e-07
2.385000000000000000e+02 5.237000000000000544e-01 5.177999999999999936e+00 9.996000000000000441e-01 4.000000000000000192e-04 6.543000000000000050e-10 6.310999999999999800e-07
2.418000000000000114e+02 5.757000000000001005e-01 4.437000000000000277e+00 9.996000000000000441e-01 4.000000000000000192e-04 4.520999999999999587e-09 9.753000000000000049e-07
2.449000000000000057e+02 6.282000000000000917e-01 3.746999999999999886e+00 9.996000000000000441e-01 4.000000000000000192e-04 2.164999999999999865e-08 1.219999999999999966e-06
2.475000000000000000e+02 6.797000000000000819e-01 3.117999999999999883e+00 9.996000000000000441e-01 4.000000000000000192e-04 9.096999999999999998e-08 1.241999999999999925e-06
2.493000000000000114e+02 7.297000000000000153e-01 2.544999999999999929e+00 9.996000000000000441e-01 4.000000000000000192e-04 2.595000000000000142e-07 1.123999999999999953e-06
2.500999999999999943e+02 7.771000000000000130e-01 2.033999999999999808e+00 9.996000000000000441e-01 4.000000000000000192e-04 3.428999999999999801e-07 8.225999999999999676e-07
2.499000000000000057e+02 8.205000000000001181e-01 1.592999999999999972e+00 9.996000000000000441e-01 4.000000000000000192e-04 3.959999999999999990e-07 6.433999999999999512e-07
2.488000000000000114e+02 8.587000000000000188e-01 1.223999999999999977e+00 9.996000000000000441e-01 4.000000000000000192e-04 4.933999999999999712e-08 3.474000000000000006e-07
2.468000000000000114e+02 8.919000000000000261e-01 9.186999999999999611e-01 9.996000000000000441e-01 4.000000000000000192e-04 5.338000000000000385e-09 2.375000000000000025e-07
2.440000000000000000e+02 9.209000000000000519e-01 6.624999999999999778e-01 9.996000000000000441e-01 4.000000000000000192e-04 1.139999999999999951e-08 1.886000000000000080e-07
2.398000000000000114e+02 9.475000000000001199e-01 4.380999999999999894e-01 9.996000000000000441e-01 4.000000000000000192e-04 8.630000000000000184e-09 2.595000000000000142e-07
