# wavelengths_cm Transit_radius_cm depth_ppm
6.030515651079422626e-05 5.878149069164202213e+08 2.882230759168768941e+01
6.091185950818825520e-05 5.877953018214120865e+08 2.848606517573968944e+01
6.152466627097058082e-05 5.877760500031303167e+08 2.815589264000781355e+01
6.214363820637348206e-05 5.877571482790641785e+08 2.783173481111145264e+01
6.276883733941989406e-05 5.877386032861814499e+08 2.751370492602310946e+01
6.340032631913837340e-05 5.877204183195947409e+08 2.720185891122774891e+01
6.403816842484107597e-05 5.877025902727464437e+08 2.689614292308849031e+01
6.468242757246505216e-05 5.876851175224212408e+08 2.659652857091107592e+01
6.533316832097654781e-05 5.876680144739564657e+08 2.630326231625131683e+01
6.599045587884045207e-05 5.876512850360059738e+08 2.601641062450361375e+01
6.665435611055486528e-05 5.876349283721394539e+08 2.573595860729570717e+01
6.732493554325070530e-05 5.876189473874963522e+08 2.546195554049651122e+01
6.800226137335835827e-05 5.876033446561350822e+08 2.519444503050838335e+01
6.868640147334142791e-05 5.875881151114150286e+08 2.493333969603321165e+01
6.937742439849752917e-05 5.875732567052297592e+08 2.467860392684143278e+01
7.007539939382828110e-05 5.875587678753868341e+08 2.443021045865907581e+01
7.078039640097813295e-05 5.875446496730755568e+08 2.418817684348576336e+01
7.149248606524298587e-05 5.875308955727372169e+08 2.395239075717054433e+01
7.221173974264900311e-05 5.875174859784927368e+08 2.372251584144202496e+01
7.293822950710315367e-05 5.875044490792813301e+08 2.349903490656140193e+01
7.367202815761576069e-05 5.874917759123396873e+08 2.328179389089306639e+01
7.441320922559495940e-05 5.874794543751568794e+08 2.307058493859342008e+01
7.516184698221517902e-05 5.874674816947153807e+08 2.286536013835284109e+01
7.591801644585994679e-05 5.874558514828057289e+08 2.266600962697311061e+01
7.668179338963868866e-05 5.874445547441073656e+08 2.247237887379771948e+01
7.745325434897987150e-05 5.874335828915362358e+08 2.228432036708189301e+01
7.823247662930074412e-05 5.874229970882295370e+08 2.210288210755535232e+01
7.901953831375320284e-05 5.874126336525969505e+08 2.192525834667693374e+01
7.981451827104854633e-05 5.874025864846419096e+08 2.175305823686797169e+01
8.061749616336090290e-05 5.873928752129592896e+08 2.158661790934297287e+01
8.142855245430941145e-05 5.873834688041812181e+08 2.142540521428127320e+01
8.224776841702128400e-05 5.873743577201240063e+08 2.126925643337611405e+01
8.307522614227641369e-05 5.873655461624387503e+08 2.111824333875277304e+01
8.391100854673272879e-05 5.873570246077533960e+08 2.097220249075818543e+01
8.475519938123526062e-05 5.873487772647182941e+08 2.083086304956489698e+01
8.560788323920873579e-05 5.873407844992523193e+08 2.069388834366040442e+01
8.646914556513422107e-05 5.873330523562467098e+08 2.056138178619479717e+01
8.733907266311093250e-05 5.873258420620102882e+08 2.043781977840717801e+01
8.821775170550482119e-05 5.873183256184988022e+08 2.030901293952959108e+01
8.910527074168394959e-05 5.873113241284064054e+08 2.018903217221241775e+01
9.000171870684110537e-05 5.873045494502620697e+08 2.007293952073271015e+01
9.090718543090599746e-05 5.872980045880253315e+08 1.996078632635628480e+01
9.182176164754698013e-05 5.872917141500275135e+08 1.985299414054764355e+01
9.274553900326273871e-05 5.872856752153311968e+08 1.974951277116749537e+01
9.367861006656603767e-05 5.872798332035753727e+08 1.964940682668097338e+01
9.462106833725999176e-05 5.872741203721919060e+08 1.955151541884924171e+01
9.557300825580683317e-05 5.872685773239642382e+08 1.945653421630461466e+01
9.653452521279174965e-05 5.872632423571064472e+08 1.936511937488925383e+01
9.750571555848176655e-05 5.872581429194166660e+08 1.927774111017005509e+01
9.848667661248037739e-05 5.872532311917837858e+08 1.919357995254941329e+01
9.947750667347967138e-05 5.872484832708266973e+08 1.911222624820779359e+01
1.004783050291107709e-04 5.872438908149384260e+08 1.903353700070353938e+01
1.014891719658928774e-04 5.872394741637816429e+08 1.895786065266771203e+01
1.025102087792825240e-04 5.872352740389616489e+08 1.888589486582298349e+01
1.035415177838240939e-04 5.872319739770824909e+08 1.882935130025454029e+01
1.045832023234028889e-04 5.872287610071424246e+08 1.877430028131857043e+01
1.056353667816000471e-04 5.872246513345537186e+08 1.870388560046735904e+01
1.066981165921528844e-04 5.872204921044030190e+08 1.863262230751087856e+01
1.077715582495204311e-04 5.872165629260015488e+08 1.856530113196753362e+01
1.088557993195540683e-04 5.872131830855575800e+08 1.850739248223436562e+01
1.099509484502767204e-04 5.872099165363193750e+08 1.845142522925370798e+01
1.110571153827704402e-04 5.872067879469878674e+08 1.839782199711112654e+01
1.121744109621725230e-04 5.872036886057693958e+08 1.834472016487905677e+01
1.133029471487832118e-04 5.872008900732182264e+08 1.829677240783880166e+01
1.144428370292851978e-04 5.871978674765596390e+08 1.824498597719778203e+01
1.155941948280749969e-04 5.871951786585444212e+08 1.819891843124119291e+01
1.167571359187092916e-04 5.871925648841574192e+08 1.815413681071650132e+01
1.179317768354664302e-04 5.871900978347147703e+08 1.811186920164712433e+01
1.191182352850232967e-04 5.871876925691361427e+08 1.807066029774889770e+01
1.203166301582505638e-04 5.872182208219594955e+08 1.859370688949807260e+01
1.215270815421265975e-04 5.872035059170598984e+08 1.834159011968321806e+01
1.227497107317707321e-04 5.871933362218065262e+08 1.816735206597485686e+01
1.239846402425976238e-04 5.871789977603497505e+08 1.792169539497994180e+01
1.252319938225942685e-04 5.871769292189857960e+08 1.788625617526159317e+01
1.264918964647207403e-04 5.871755472559196949e+08 1.786257980615807739e+01
1.277644744194345017e-04 5.871734745112041235e+08 1.782706878145756590e+01
1.290498552073420944e-04 5.871753288437880278e+08 1.785883788329140032e+01
1.303481676319776818e-04 5.871700741666104794e+08 1.776881309893713023e+01
1.316595417927094456e-04 5.871796835114747286e+08 1.793344403206750926e+01
1.329841090977765478e-04 5.871668903975495100e+08 1.771426815660908005e+01
1.343220022774576879e-04 5.871700156483594179e+08 1.776781055036605750e+01
1.356733553973706312e-04 5.871637848785383701e+08 1.766106409408728339e+01
1.370383038719069375e-04 5.871630606457506418e+08 1.764865650594568436e+01
1.384169844778016726e-04 5.871615353827674389e+08 1.762252568313156331e+01
1.398095353678386460e-04 5.871601139579404593e+08 1.759817387789968279e+01
1.412160960846944792e-04 5.871586101427868605e+08 1.757241062837063694e+01
1.426368075749220225e-04 5.872563584898073673e+08 1.924716529800923226e+01
1.440718122030740396e-04 5.873122493532885313e+08 2.020488717101839171e+01
1.455212537659684080e-04 5.871582116131707430e+08 1.756558305964508548e+01
1.469852775070980061e-04 5.871541241839221716e+08 1.749555790625556639e+01
1.484640301311855853e-04 5.871532621911936998e+08 1.748079045342570481e+01
1.499576598188834102e-04 5.871566832717354298e+08 1.753939971305868895e+01
1.514663162416225999e-04 5.871513532924557924e+08 1.744808773492012932e+01
1.529901505766114930e-04 5.871776819987664223e+08 1.789915313667616203e+01
1.545293155219835783e-04 5.871707881073677540e+08 1.778104450955058979e+01
1.560839653120996802e-04 5.871520959243409634e+08 1.746081028373493638e+01
1.576542557330033148e-04 5.873046363663692474e+08 2.007442892933387668e+01
1.592403441380307893e-04 5.871641164393298626e+08 1.766674441333489654e+01
1.608423894635792686e-04 5.872939601788051128e+08 1.989148168589571242e+01
1.624605522450340580e-04 5.871512076041669846e+08 1.744559184832999676e+01
1.640949946328538805e-04 5.871764453820677996e+08 1.787796687253161565e+01
1.657458804088202760e-04 5.871567983625756502e+08 1.754137143198413185e+01
1.674133750024500093e-04 5.871442712693746090e+08 1.732676142805524933e+01
1.690976455075709768e-04 5.871432456923367977e+08 1.730919178533027392e+01
1.707988606990669498e-04 5.871427297386504412e+08 1.730035275159785968e+01
1.725171910497899088e-04 5.871424203220527172e+08 1.729505200097846540e+01
1.742528087476425704e-04 5.871421422062109709e+08 1.729028747963935686e+01
1.760058877128318924e-04 5.871415961014003754e+08 1.728093193131403638e+01
1.777766036152977870e-04 5.871406991725242138e+08 1.726556628909550994e+01
1.795651338923168769e-04 5.871400858388148546e+08 1.725505904100847943e+01
1.813716577662815958e-04 5.871400372907385826e+08 1.725422734631098720e+01
1.831963562626600782e-04 5.871402678812987804e+08 1.725817767741969533e+01
1.850394122281366779e-04 5.871400980569573641e+08 1.725526835444876994e+01
