vector_z_km	pressure_Pa	temperature_K	Xmass_N2	Xmass_CO2	Xmass_H2O_l	Xmass_H2O_s
0.000e+00	1.012e+05	2.141e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
4.798e-02	1.001e+05	2.218e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
1.473e-01	9.797e+04	2.224e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
2.656e-01	9.555e+04	2.320e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
4.049e-01	9.287e+04	2.387e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
5.666e-01	8.993e+04	2.453e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
7.622e-01	8.659e+04	2.507e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
1.002e+00	8.272e+04	2.552e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
1.292e+00	7.834e+04	2.587e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
1.633e+00	7.355e+04	2.611e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
2.020e+00	6.851e+04	2.623e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
2.450e+00	6.330e+04	2.626e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
2.926e+00	5.800e+04	2.618e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
3.440e+00	5.274e+04	2.603e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
3.981e+00	4.770e+04	2.583e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
4.545e+00	4.290e+04	2.560e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
5.127e+00	3.842e+04	2.537e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
5.719e+00	3.430e+04	2.515e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
6.312e+00	3.059e+04	2.497e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
6.909e+00	2.725e+04	2.479e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
7.514e+00	2.421e+04	2.458e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
8.132e+00	2.143e+04	2.436e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
8.775e+00	1.885e+04	2.409e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
9.457e+00	1.643e+04	2.377e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
1.019e+01	1.413e+04	2.344e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
1.098e+01	1.199e+04	2.310e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
1.181e+01	1.006e+04	2.276e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
1.273e+01	8.283e+03	2.243e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
1.378e+01	6.606e+03	2.216e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
1.499e+01	5.081e+03	2.215e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
1.637e+01	3.760e+03	2.206e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
1.807e+01	2.591e+03	2.166e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
2.045e+01	1.524e+03	2.112e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
2.323e+01	7.937e+02	2.036e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
2.560e+01	4.461e+02	1.967e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
2.791e+01	2.510e+02	1.913e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
3.014e+01	1.413e+02	1.841e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
3.230e+01	7.937e+01	1.785e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
3.441e+01	4.461e+01	1.760e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
3.650e+01	2.510e+01	1.771e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
3.864e+01	1.413e+01	1.844e+02	0.000e+00	1.000e+00	0.000e+00	0.000e+00
