vector_z_km	pressure_Pa	temperature_K	Xmass_N2	Xmass_CO2	Xmass_H2O_l	Xmass_H2O_s
0.000e+00	1.003e+05	2.241e+02	9.996e-01	4.000e-04	1.711e-12	3.502e-07
7.659e-02	9.928e+04	2.294e+02	9.996e-01	4.000e-04	1.711e-12	3.502e-07
2.433e-01	9.714e+04	2.348e+02	9.996e-01	4.000e-04	6.955e-10	3.190e-07
4.381e-01	9.475e+04	2.398e+02	9.996e-01	4.000e-04	8.630e-09	2.595e-07
6.625e-01	9.209e+04	2.440e+02	9.996e-01	4.000e-04	1.140e-08	1.886e-07
9.187e-01	8.919e+04	2.468e+02	9.996e-01	4.000e-04	5.338e-09	2.375e-07
1.224e+00	8.587e+04	2.488e+02	9.996e-01	4.000e-04	4.934e-08	3.474e-07
1.593e+00	8.205e+04	2.499e+02	9.996e-01	4.000e-04	3.960e-07	6.434e-07
2.034e+00	7.771e+04	2.501e+02	9.996e-01	4.000e-04	3.429e-07	8.226e-07
2.545e+00	7.297e+04	2.493e+02	9.996e-01	4.000e-04	2.595e-07	1.124e-06
3.118e+00	6.797e+04	2.475e+02	9.996e-01	4.000e-04	9.097e-08	1.242e-06
3.747e+00	6.282e+04	2.449e+02	9.996e-01	4.000e-04	2.165e-08	1.220e-06
4.437e+00	5.757e+04	2.418e+02	9.996e-01	4.000e-04	4.521e-09	9.753e-07
5.178e+00	5.237e+04	2.385e+02	9.996e-01	4.000e-04	6.543e-10	6.311e-07
5.954e+00	4.737e+04	2.354e+02	9.996e-01	4.000e-04	9.497e-11	3.770e-07
6.759e+00	4.263e+04	2.324e+02	9.996e-01	4.000e-04	1.122e-11	2.935e-07
7.586e+00	3.819e+04	2.296e+02	9.996e-01	4.000e-04	9.411e-14	2.594e-07
8.429e+00	3.411e+04	2.268e+02	9.996e-01	4.000e-04	0.000e+00	2.318e-07
9.269e+00	3.044e+04	2.237e+02	9.996e-01	4.000e-04	0.000e+00	1.871e-07
1.011e+01	2.713e+04	2.201e+02	9.996e-01	4.000e-04	0.000e+00	1.310e-07
1.094e+01	2.412e+04	2.162e+02	9.996e-01	4.000e-04	0.000e+00	7.887e-08
1.179e+01	2.136e+04	2.121e+02	9.996e-01	4.000e-04	0.000e+00	4.297e-08
1.267e+01	1.881e+04	2.080e+02	9.996e-01	4.000e-04	0.000e+00	2.214e-08
1.359e+01	1.642e+04	2.039e+02	9.996e-01	4.000e-04	0.000e+00	1.305e-08
1.458e+01	1.413e+04	1.994e+02	9.996e-01	4.000e-04	0.000e+00	1.994e-08
1.564e+01	1.199e+04	1.948e+02	9.996e-01	4.000e-04	0.000e+00	4.478e-08
1.674e+01	1.006e+04	1.913e+02	9.996e-01	4.000e-04	0.000e+00	2.765e-08
1.795e+01	8.283e+03	1.881e+02	9.996e-01	4.000e-04	0.000e+00	1.651e-08
1.933e+01	6.606e+03	1.849e+02	9.996e-01	4.000e-04	0.000e+00	1.899e-08
2.090e+01	5.081e+03	1.820e+02	9.996e-01	4.000e-04	0.000e+00	1.295e-08
2.267e+01	3.760e+03	1.794e+02	9.996e-01	4.000e-04	0.000e+00	9.122e-09
2.484e+01	2.591e+03	1.768e+02	9.996e-01	4.000e-04	0.000e+00	4.723e-09
2.792e+01	1.524e+03	1.767e+02	9.996e-01	4.000e-04	0.000e+00	8.156e-12
3.163e+01	7.937e+02	1.792e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
3.498e+01	4.461e+02	1.813e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
3.833e+01	2.510e+02	1.796e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
4.168e+01	1.413e+02	1.793e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
4.504e+01	7.937e+01	1.798e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
4.840e+01	4.461e+01	1.806e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
5.177e+01	2.510e+01	1.800e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
5.511e+01	1.413e+01	1.837e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
